soil_moisture,ph,nutrients_level,luminosity,temperature,air_humidity,productivity_index,productivity_classification,recommendation,irrigation_volume,fertilization_need
77.11,6.2,41.05,18.27,18.45,81.11,66.09,Moderada,Irrigação bloqueada: nível de nutrientes baixo. Fertilizar antes de irrigar.,0.0,Alta
71.68,7.17,79.82,16.79,18.31,82.93,67.73,Moderada,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Média
88.33,6.33,66.09,11.14,15.75,83.97,65.35,Moderada,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
81.93,6.12,74.78,5,18.0,85.92,66.82,Moderada,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
51.02,4.34,57.08,29.39,15.44,86.55,46.98,Moderada,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Média
73.79,5.55,66.45,30.51,21.13,72.25,77.13,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
71.4,6.79,76.61,21.37,21.62,87.11,78.84,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
67.21,8.05,53.25,11.39,17.5,85.99,45.57,Moderada,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Média
75.38,7.37,66.31,29.22,23.55,86.05,66.77,Moderada,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Média
63.42,6.49,62.32,13.62,22.05,70.45,72.39,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
54.84,5.88,53.03,26.97,26.43,86.96,70.64,Alta,Condições adequadas. Nenhuma ação imediata necessária.,2.0,Média
60.46,6.08,34.86,13.2,18.78,87.99,61.01,Moderada,Irrigação bloqueada: nível de nutrientes baixo. Fertilizar antes de irrigar.,0.0,Alta
69.34,6.5,71.02,13.19,20.33,91.55,75.47,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
72.39,6.59,90.08,39.86,21.7,68.43,91.2,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Baixa
64.43,5.91,47.69,61.55,21.48,83.87,86.54,Alta,Irrigação bloqueada: nível de nutrientes baixo. Fertilizar antes de irrigar.,0.0,Alta
24.64,6.83,78.01,63.87,26.97,71.44,73.13,Alta,Irrigação urgente recomendada.,8.0,Média
44.69,5.98,92.51,47.47,25.99,74.8,77.01,Alta,Condições adequadas. Nenhuma ação imediata necessária.,2.0,Baixa
51.95,5.39,83.93,58.24,27.84,46.5,82.24,Alta,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Baixa
31.76,6.21,73.82,96.9,29.8,63.23,72.82,Alta,Irrigação recomendada.,5.0,Média
66.9,6.83,68.94,55.36,33.28,53.41,90.93,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
71.22,5.84,73.77,65.64,31.75,44.09,89.52,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
63.3,6.27,47.89,79.93,32.77,49.79,88.12,Alta,Irrigação bloqueada: nível de nutrientes baixo. Fertilizar antes de irrigar.,0.0,Alta
53.61,6.37,80.6,93.82,34.1,35.83,84.58,Alta,Condições adequadas. Nenhuma ação imediata necessária.,2.0,Baixa
47.48,6.08,70.02,96.71,33.8,57.58,78.71,Alta,Condições adequadas. Nenhuma ação imediata necessária.,2.0,Média
35.41,5.01,73.39,91.42,34.66,49.57,65.17,Moderada,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Média
28.05,6.69,64.47,82.11,35.67,45.22,67.41,Moderada,Irrigação recomendada.,5.0,Média
46.94,6.67,57.6,93.05,32.38,35.47,76.65,Alta,Condições adequadas. Nenhuma ação imediata necessária.,2.0,Média
44.61,8.0,34.48,96.85,29.65,46.24,45.36,Moderada,Irrigação bloqueada: corrigir pH e nível de nutrientes.,0.0,Alta
48.84,7.98,60.04,76.95,30.8,60.84,69.64,Moderada,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Média
45.13,6.45,30.11,69.64,27.9,49.18,81.28,Alta,Irrigação bloqueada: nível de nutrientes baixo. Fertilizar antes de irrigar.,0.0,Alta
46.61,8.5,52.34,67.49,34.48,44.24,58.1,Moderada,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Média
69.01,6.11,39.16,56.06,29.03,61.98,83.7,Alta,Irrigação bloqueada: nível de nutrientes baixo. Fertilizar antes de irrigar.,0.0,Alta
47.67,7.35,100,69.88,27.49,45.34,87.65,Alta,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Baixa
59.07,6.68,78.44,50.5,20.39,59.18,87.17,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
69.79,4.57,62.0,24.29,20.13,61.87,62.87,Moderada,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Média
59.36,5.74,55.86,47.4,21.06,84.53,80.28,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
68.36,6.77,73.54,31.93,20.56,95,79.08,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
53.81,6.62,82.1,47.79,23.82,70.8,79.65,Alta,Condições adequadas. Nenhuma ação imediata necessária.,2.0,Baixa
71.94,6.56,54.15,5,12.9,81.43,65.48,Moderada,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
81.71,6.89,64.57,5,20.05,84.96,67.01,Moderada,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
60.72,4.68,70.81,18.36,16.89,77.84,58.33,Moderada,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Média
92.77,6.33,58.86,15.65,16.72,84.97,50.74,Moderada,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
71.3,7.68,84.98,19.16,14.95,81.0,63.83,Moderada,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Baixa
68.5,6.61,54.2,11.44,21.14,72.88,73.55,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
67.48,6.3,76.38,26.81,12.91,86.42,81.32,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
90.09,7.73,100,5,15.29,88.18,42.36,Moderada,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Baixa
78.03,5.44,100,29.23,12.87,94.91,80.36,Alta,Irrigação bloqueada: pH inadequado. Corrigir o solo antes de irrigar.,0.0,Baixa
68.13,5.95,92.72,5,19.94,76.15,74.62,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Baixa
64.08,6.45,55.59,23.81,24.81,75.38,76.77,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
83.36,6.17,56.54,21.16,15.98,95,65.92,Moderada,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
65.34,6.76,65.91,34.77,18.53,85.68,79.64,Alta,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
65.66,5.66,51.08,17.8,21.65,87.38,65.92,Moderada,Condições adequadas. Nenhuma ação imediata necessária.,0.0,Média
